"Sample","creek","timeplot","daysampletoavg","flow_m3s","yearplot","monthplot","dayplot"
"0521.4Pad.Dn.1","Padden",2021-05-10 21:00:00,2021-05-10,0.0311485317,2021,5,10
"0521.4Pad.Dn.2","Padden",2021-05-10 21:00:00,2021-05-10,0.0311485317,2021,5,10
"0521.4Pad.Dn.3","Padden",2021-05-10 21:00:00,2021-05-10,0.0311485317,2021,5,10
"0521.4Pad.Up11.1","Padden",2021-05-10 21:15:00,2021-05-10,0.0339802164,2021,5,10
"0521.4Pad.Up11.2","Padden",2021-05-10 21:15:00,2021-05-10,0.0339802164,2021,5,10
"0521.4Pad.Up11.3","Padden",2021-05-10 21:15:00,2021-05-10,0.0339802164,2021,5,10
"0521.4Pad.Up5.1","Padden",2021-05-10 21:45:00,2021-05-10,0.0311485317,2021,5,10
"0521.4Pad.Up5.2","Padden",2021-05-10 21:45:00,2021-05-10,0.0311485317,2021,5,10
"0521.4Pad.Up5.3","Padden",2021-05-10 21:45:00,2021-05-10,0.0311485317,2021,5,10
"0621.4Pad.Dn.1","Padden",2021-06-11 21:00:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Dn.2","Padden",2021-06-11 21:00:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Dn.3","Padden",2021-06-11 21:00:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Up11.1","Padden",2021-06-11 21:15:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Up11.2","Padden",2021-06-11 21:15:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Up11.3","Padden",2021-06-11 21:15:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Up5.1","Padden",2021-06-11 21:45:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Up5.2","Padden",2021-06-11 21:45:00,2021-06-11,0.0084950541,2021,6,11
"0621.4Pad.Up5.3","Padden",2021-06-11 21:45:00,2021-06-11,0.0084950541,2021,6,11
"0721.4Pad.Dn.1","Padden",2021-07-12 20:15:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Dn.2","Padden",2021-07-12 20:15:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Dn.3","Padden",2021-07-12 20:15:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Up11.1","Padden",2021-07-12 20:15:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Up11.2","Padden",2021-07-12 20:15:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Up11.3","Padden",2021-07-12 20:15:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Up5.1","Padden",2021-07-12 20:45:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Up5.2","Padden",2021-07-12 20:45:00,2021-07-12,0.0056633694,2021,7,12
"0721.4Pad.Up5.3","Padden",2021-07-12 20:45:00,2021-07-12,0.0056633694,2021,7,12
"0821.4Pad.Dn.1","Padden",2021-08-11 20:00:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Dn.2","Padden",2021-08-11 20:00:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Dn.3","Padden",2021-08-11 20:00:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Up11.1","Padden",2021-08-11 20:15:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Up11.2","Padden",2021-08-11 20:15:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Up11.3","Padden",2021-08-11 20:15:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Up5.1","Padden",2021-08-11 20:45:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Up5.2","Padden",2021-08-11 20:45:00,2021-08-11,0.0028316847,2021,8,11
"0821.4Pad.Up5.3","Padden",2021-08-11 20:45:00,2021-08-11,0.0028316847,2021,8,11
"0921.4Pad.Dn.1","Padden",2021-09-10 20:15:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Dn.2","Padden",2021-09-10 20:15:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Dn.3","Padden",2021-09-10 20:15:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Up11.1","Padden",2021-09-10 20:30:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Up11.2","Padden",2021-09-10 20:30:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Up11.3","Padden",2021-09-10 20:30:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Up5.1","Padden",2021-09-10 21:00:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Up5.2","Padden",2021-09-10 21:00:00,2021-09-10,0.0056633694,2021,9,10
"0921.4Pad.Up5.3","Padden",2021-09-10 21:00:00,2021-09-10,0.0056633694,2021,9,10
"1021.4Pad.Dn.1","Padden",2021-10-12 20:15:00,2021-10-12,0.028316847,2021,10,12
"1021.4Pad.Dn.2","Padden",2021-10-12 20:15:00,2021-10-12,0.028316847,2021,10,12
"1021.4Pad.Dn.3","Padden",2021-10-12 20:15:00,2021-10-12,0.028316847,2021,10,12
"1021.4Pad.Up11.1","Padden",2021-10-12 20:30:00,2021-10-12,0.0198217929,2021,10,12
"1021.4Pad.Up11.2","Padden",2021-10-12 20:30:00,2021-10-12,0.0198217929,2021,10,12
"1021.4Pad.Up11.3","Padden",2021-10-12 20:30:00,2021-10-12,0.0198217929,2021,10,12
"1021.4Pad.Up5.1","Padden",2021-10-12 21:00:00,2021-10-12,0.0226534776,2021,10,12
"1021.4Pad.Up5.2","Padden",2021-10-12 21:00:00,2021-10-12,0.0226534776,2021,10,12
"1021.4Pad.Up5.3","Padden",2021-10-12 21:00:00,2021-10-12,0.0226534776,2021,10,12
"1121.4Pad.Dn.1","Padden",2021-11-10 21:15:00,2021-11-10,0.5125349307,2021,11,10
"1121.4Pad.Dn.2","Padden",2021-11-10 21:15:00,2021-11-10,0.5125349307,2021,11,10
"1121.4Pad.Dn.3","Padden",2021-11-10 21:15:00,2021-11-10,0.5125349307,2021,11,10
"1121.4Pad.Up11.1","Padden",2021-11-10 21:30:00,2021-11-10,0.5153666154,2021,11,10
"1121.4Pad.Up11.2","Padden",2021-11-10 21:30:00,2021-11-10,0.5153666154,2021,11,10
"1121.4Pad.Up11.3","Padden",2021-11-10 21:30:00,2021-11-10,0.5153666154,2021,11,10
"1121.4Pad.Up5.1","Padden",2021-11-10 22:00:00,2021-11-10,0.5012081919,2021,11,10
"1121.4Pad.Up5.2","Padden",2021-11-10 22:00:00,2021-11-10,0.5012081919,2021,11,10
"1121.4Pad.Up5.3","Padden",2021-11-10 22:00:00,2021-11-10,0.5012081919,2021,11,10
"1221.4Pad.Dn.1","Padden",2021-12-10 21:15:00,2021-12-10,0.679604328,2021,12,10
"1221.4Pad.Dn.2","Padden",2021-12-10 21:15:00,2021-12-10,0.679604328,2021,12,10
"1221.4Pad.Dn.3","Padden",2021-12-10 21:15:00,2021-12-10,0.679604328,2021,12,10
"1221.4Pad.Up11.1","Padden",2021-12-10 21:30:00,2021-12-10,1.1978026281,2021,12,10
"1221.4Pad.Up11.2","Padden",2021-12-10 21:30:00,2021-12-10,1.1978026281,2021,12,10
"1221.4Pad.Up11.3","Padden",2021-12-10 21:30:00,2021-12-10,1.1978026281,2021,12,10
"1221.4Pad.Up5.1","Padden",2021-12-10 21:45:00,2021-12-10,0.8041984548,2021,12,10
"1221.4Pad.Up5.2","Padden",2021-12-10 21:45:00,2021-12-10,0.8041984548,2021,12,10
"1221.4Pad.Up5.3","Padden",2021-12-10 21:45:00,2021-12-10,0.8041984548,2021,12,10
"0122.4Pad.Dn.1","Padden",2022-01-13 21:00:00,2022-01-13,1.2572680068,2022,1,13
"0122.4Pad.Dn.2","Padden",2022-01-13 21:00:00,2022-01-13,1.2572680068,2022,1,13
"0122.4Pad.Dn.3","Padden",2022-01-13 21:00:00,2022-01-13,1.2572680068,2022,1,13
"0122.4Pad.Up11.1","Padden",2022-01-13 21:15:00,2022-01-13,1.2317828445,2022,1,13
"0122.4Pad.Up11.2","Padden",2022-01-13 21:15:00,2022-01-13,1.2317828445,2022,1,13
"0122.4Pad.Up11.3","Padden",2022-01-13 21:15:00,2022-01-13,1.2317828445,2022,1,13
"0122.4Pad.Up5.1","Padden",2022-01-13 21:45:00,2022-01-13,1.2147927363,2022,1,13
"0122.4Pad.Up5.2","Padden",2022-01-13 21:45:00,2022-01-13,1.2147927363,2022,1,13
"0122.4Pad.Up5.3","Padden",2022-01-13 21:45:00,2022-01-13,1.2147927363,2022,1,13
"0222.4Pad.Dn.1","Padden",2022-02-10 21:00:00,2022-02-10,0.3284754252,2022,2,10
"0222.4Pad.Dn.2","Padden",2022-02-10 21:00:00,2022-02-10,0.3284754252,2022,2,10
"0222.4Pad.Dn.3","Padden",2022-02-10 21:00:00,2022-02-10,0.3284754252,2022,2,10
"0222.4Pad.Up11.1","Padden",2022-02-10 21:15:00,2022-02-10,0.311485317,2022,2,10
"0222.4Pad.Up11.2","Padden",2022-02-10 21:15:00,2022-02-10,0.311485317,2022,2,10
"0222.4Pad.Up11.3","Padden",2022-02-10 21:15:00,2022-02-10,0.311485317,2022,2,10
"0222.4Pad.Up5.1","Padden",2022-02-10 21:30:00,2022-02-10,0.2888318394,2022,2,10
"0222.4Pad.Up5.2","Padden",2022-02-10 21:30:00,2022-02-10,0.2888318394,2022,2,10
"0222.4Pad.Up5.3","Padden",2022-02-10 21:30:00,2022-02-10,0.2888318394,2022,2,10
"0321.3Chk.Dn.1","Chuckanut",2021-03-10 23:30:00,2021-03-10,0.2321981454,2021,3,10
"0321.3Chk.Dn.2","Chuckanut",2021-03-10 23:30:00,2021-03-10,0.2321981454,2021,3,10
"0321.3Chk.Dn.3","Chuckanut",2021-03-10 23:30:00,2021-03-10,0.2321981454,2021,3,10
"0321.3Chk.Up.1","Chuckanut",2021-03-11 00:15:00,2021-03-11,0.2293664607,2021,3,11
"0321.3Chk.Up.2","Chuckanut",2021-03-11 00:15:00,2021-03-11,0.2293664607,2021,3,11
"0321.3Chk.Up.3","Chuckanut",2021-03-11 00:15:00,2021-03-11,0.2293664607,2021,3,11
"0421.3Chk.Dn.1","Chuckanut",2021-04-08 19:15:00,2021-04-08,0.3369704793,2021,4,8
"0421.3Chk.Dn.2","Chuckanut",2021-04-08 19:15:00,2021-04-08,0.3369704793,2021,4,8
"0421.3Chk.Dn.3","Chuckanut",2021-04-08 19:15:00,2021-04-08,0.3369704793,2021,4,8
"0421.3Chk.Up.1","Chuckanut",2021-04-08 19:30:00,2021-04-08,0.3369704793,2021,4,8
"0421.3Chk.Up.2","Chuckanut",2021-04-08 19:30:00,2021-04-08,0.3369704793,2021,4,8
"0421.3Chk.Up.3","Chuckanut",2021-04-08 19:30:00,2021-04-08,0.3369704793,2021,4,8
"0521.3Chk.Dn.1","Chuckanut",2021-05-10 18:45:00,2021-05-10,0.0622970634,2021,5,10
"0521.3Chk.Dn.2","Chuckanut",2021-05-10 18:45:00,2021-05-10,0.0622970634,2021,5,10
"0521.3Chk.Dn.3","Chuckanut",2021-05-10 18:45:00,2021-05-10,0.0622970634,2021,5,10
"0521.3Chk.Up.1","Chuckanut",2021-05-10 19:00:00,2021-05-10,0.0622970634,2021,5,10
"0521.3Chk.Up.2","Chuckanut",2021-05-10 19:15:00,2021-05-10,0.0622970634,2021,5,10
"0521.3Chk.Up.3","Chuckanut",2021-05-10 19:15:00,2021-05-10,0.0622970634,2021,5,10
"0621.3Chk.Dn.1","Chuckanut",2021-06-11 19:15:00,2021-06-11,0.0198217929,2021,6,11
"0621.3Chk.Dn.2","Chuckanut",2021-06-11 19:15:00,2021-06-11,0.0198217929,2021,6,11
"0621.3Chk.Dn.3","Chuckanut",2021-06-11 19:15:00,2021-06-11,0.0198217929,2021,6,11
"0621.3Chk.Up.1","Chuckanut",2021-06-11 19:30:00,2021-06-11,0.0198217929,2021,6,11
"0621.3Chk.Up.2","Chuckanut",2021-06-11 19:30:00,2021-06-11,0.0198217929,2021,6,11
"0621.3Chk.Up.3","Chuckanut",2021-06-11 19:30:00,2021-06-11,0.0198217929,2021,6,11
"0721.3Chk.Dn.1","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,2021,7,12
"0721.3Chk.Dn.2","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,2021,7,12
"0721.3Chk.Dn.3","Chuckanut",2021-07-12 18:30:00,2021-07-12,NA,2021,7,12
"0721.3Chk.Up.1","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,2021,7,12
"0721.3Chk.Up.2","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,2021,7,12
"0721.3Chk.Up.3","Chuckanut",2021-07-12 19:00:00,2021-07-12,NA,2021,7,12
"0821.3Chk.Dn.1","Chuckanut",2021-08-11 18:30:00,2021-08-11,0.0056633694,2021,8,11
"0821.3Chk.Dn.2","Chuckanut",2021-08-11 18:30:00,2021-08-11,0.0056633694,2021,8,11
"0821.3Chk.Dn.3","Chuckanut",2021-08-11 18:30:00,2021-08-11,0.0056633694,2021,8,11
"0821.3Chk.Up.1","Chuckanut",2021-08-11 18:45:00,2021-08-11,0.0056633694,2021,8,11
"0821.3Chk.Up.2","Chuckanut",2021-08-11 18:45:00,2021-08-11,0.0056633694,2021,8,11
"0821.3Chk.Up.3","Chuckanut",2021-08-11 18:45:00,2021-08-11,0.0056633694,2021,8,11
"0921.3Chk.Dn.1","Chuckanut",2021-09-10 18:30:00,2021-09-10,0.0084950541,2021,9,10
"0921.3Chk.Dn.2","Chuckanut",2021-09-10 18:30:00,2021-09-10,0.0084950541,2021,9,10
"0921.3Chk.Dn.3","Chuckanut",2021-09-10 18:30:00,2021-09-10,0.0084950541,2021,9,10
"0921.3Chk.Up.1","Chuckanut",2021-09-10 18:30:00,2021-09-10,0.0084950541,2021,9,10
"0921.3Chk.Up.2","Chuckanut",2021-09-10 18:30:00,2021-09-10,0.0084950541,2021,9,10
"0921.3Chk.Up.3","Chuckanut",2021-09-10 18:30:00,2021-09-10,0.0084950541,2021,9,10
"1021.3Chk.Dn.1","Chuckanut",2021-10-12 18:15:00,2021-10-12,0.0991089645,2021,10,12
"1021.3Chk.Dn.2","Chuckanut",2021-10-12 18:15:00,2021-10-12,0.0991089645,2021,10,12
"1021.3Chk.Dn.3","Chuckanut",2021-10-12 18:15:00,2021-10-12,0.0991089645,2021,10,12
"1021.3Chk.Up.1","Chuckanut",2021-10-12 18:30:00,2021-10-12,0.0991089645,2021,10,12
"1021.3Chk.Up.2","Chuckanut",2021-10-12 18:30:00,2021-10-12,0.0991089645,2021,10,12
"1021.3Chk.Up.3","Chuckanut",2021-10-12 18:30:00,2021-10-12,0.0991089645,2021,10,12
"1121.3Chk.Dn.1","Chuckanut",2021-11-10 19:30:00,2021-11-10,0.7787132925,2021,11,10
"1121.3Chk.Dn.2","Chuckanut",2021-11-10 19:30:00,2021-11-10,0.7787132925,2021,11,10
"1121.3Chk.Dn.3","Chuckanut",2021-11-10 19:30:00,2021-11-10,0.7787132925,2021,11,10
"1121.3Chk.Up.1","Chuckanut",2021-11-10 19:45:00,2021-11-10,0.7872083466,2021,11,10
"1121.3Chk.Up.2","Chuckanut",2021-11-10 19:45:00,2021-11-10,0.7872083466,2021,11,10
"1121.3Chk.Up.3","Chuckanut",2021-11-10 19:45:00,2021-11-10,0.7872083466,2021,11,10
"1221.3Chk.Dn.1","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,2021,12,10
"1221.3Chk.Dn.2","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,2021,12,10
"1221.3Chk.Dn.3","Chuckanut",2021-12-10 19:15:00,2021-12-10,NA,2021,12,10
"1221.3Chk.Up.1","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,2021,12,10
"1221.3Chk.Up.2","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,2021,12,10
"1221.3Chk.Up.3","Chuckanut",2021-12-10 19:45:00,2021-12-10,NA,2021,12,10
"0122.3Chk.Dn.1","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,2022,1,13
"0122.3Chk.Dn.2","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,2022,1,13
"0122.3Chk.Dn.3","Chuckanut",2022-01-13 19:30:00,2022-01-13,NA,2022,1,13
"0122.3Chk.Up.1","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,2022,1,13
"0122.3Chk.Up.2","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,2022,1,13
"0122.3Chk.Up.3","Chuckanut",2022-01-13 20:00:00,2022-01-13,NA,2022,1,13
"0222.3Chk.Dn.1","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,2022,2,10
"0222.3Chk.Dn.2","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,2022,2,10
"0222.3Chk.Dn.3","Chuckanut",2022-02-10 19:30:00,2022-02-10,NA,2022,2,10
"0222.3Chk.Up.1","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,2022,2,10
"0222.3Chk.Up.2","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,2022,2,10
"0222.3Chk.Up.3","Chuckanut",2022-02-10 20:00:00,2022-02-10,NA,2022,2,10
"0321.5Sqm.Dn.1","Squalicum",2021-03-10 19:45:00,2021-03-10,0.5804953635,2021,3,10
"0321.5Sqm.Dn.2","Squalicum",2021-03-10 19:45:00,2021-03-10,0.5804953635,2021,3,10
"0321.5Sqm.Dn.3","Squalicum",2021-03-10 19:45:00,2021-03-10,0.5804953635,2021,3,10
"0321.5Sqm.Up.1","Squalicum",2021-03-10 20:15:00,2021-03-10,0.5918221023,2021,3,10
"0321.5Sqm.Up.2","Squalicum",2021-03-10 20:15:00,2021-03-10,0.5918221023,2021,3,10
"0321.5Sqm.Up.3","Squalicum",2021-03-10 20:15:00,2021-03-10,0.5918221023,2021,3,10
"0421.5Sqm.Dn.1","Squalicum",2021-04-08 23:30:00,2021-04-08,0.6342973728,2021,4,8
"0421.5Sqm.Dn.2","Squalicum",2021-04-08 23:30:00,2021-04-08,0.6342973728,2021,4,8
"0421.5Sqm.Dn.3","Squalicum",2021-04-08 23:30:00,2021-04-08,0.6342973728,2021,4,8
"0421.5Sqm.Up.1","Squalicum",2021-04-08 23:45:00,2021-04-08,0.6286340034,2021,4,8
"0421.5Sqm.Up.2","Squalicum",2021-04-08 23:45:00,2021-04-08,0.6286340034,2021,4,8
"0421.5Sqm.Up.3","Squalicum",2021-04-08 23:45:00,2021-04-08,0.6286340034,2021,4,8
"0521.5Sqm.Dn.1","Squalicum",2021-05-10 22:30:00,2021-05-10,0.084950541,2021,5,10
"0521.5Sqm.Dn.2","Squalicum",2021-05-10 22:30:00,2021-05-10,0.084950541,2021,5,10
"0521.5Sqm.Dn.3","Squalicum",2021-05-10 22:30:00,2021-05-10,0.084950541,2021,5,10
"0521.5Sqm.Up.1","Squalicum",2021-05-10 22:45:00,2021-05-10,0.084950541,2021,5,10
"0521.5Sqm.Up.2","Squalicum",2021-05-10 22:45:00,2021-05-10,0.084950541,2021,5,10
"0521.5Sqm.Up.3","Squalicum",2021-05-10 22:45:00,2021-05-10,0.084950541,2021,5,10
"0621.5Sqm.Dn.1","Squalicum",2021-06-11 22:45:00,2021-06-11,0.0679604328,2021,6,11
"0621.5Sqm.Dn.2","Squalicum",2021-06-11 22:45:00,2021-06-11,0.0679604328,2021,6,11
"0621.5Sqm.Dn.3","Squalicum",2021-06-11 22:45:00,2021-06-11,0.0679604328,2021,6,11
"0621.5Sqm.Up.1","Squalicum",2021-06-11 23:00:00,2021-06-11,0.0679604328,2021,6,11
"0621.5Sqm.Up.2","Squalicum",2021-06-11 23:00:00,2021-06-11,0.0679604328,2021,6,11
"0621.5Sqm.Up.3","Squalicum",2021-06-11 23:00:00,2021-06-11,0.0679604328,2021,6,11
"0721.5Sqm.Dn.1","Squalicum",2021-07-12 21:30:00,2021-07-12,0.0141584235,2021,7,12
"0721.5Sqm.Dn.2","Squalicum",2021-07-12 21:30:00,2021-07-12,0.0141584235,2021,7,12
"0721.5Sqm.Dn.3","Squalicum",2021-07-12 21:30:00,2021-07-12,0.0141584235,2021,7,12
"0721.5Sqm.Up.1","Squalicum",2021-07-12 21:45:00,2021-07-12,0.0169901082,2021,7,12
"0721.5Sqm.Up.2","Squalicum",2021-07-12 21:45:00,2021-07-12,0.0169901082,2021,7,12
"0721.5Sqm.Up.3","Squalicum",2021-07-12 21:45:00,2021-07-12,0.0169901082,2021,7,12
"0821.5Sqm.Dn.1","Squalicum",2021-08-11 21:15:00,2021-08-11,0.0056633694,2021,8,11
"0821.5Sqm.Dn.2","Squalicum",2021-08-11 21:15:00,2021-08-11,0.0056633694,2021,8,11
"0821.5Sqm.Dn.3","Squalicum",2021-08-11 21:15:00,2021-08-11,0.0056633694,2021,8,11
"0821.5Sqm.Up.1","Squalicum",2021-08-11 21:30:00,2021-08-11,0.0056633694,2021,8,11
"0821.5Sqm.Up.2","Squalicum",2021-08-11 21:30:00,2021-08-11,0.0056633694,2021,8,11
"0821.5Sqm.Up.3","Squalicum",2021-08-11 21:30:00,2021-08-11,0.0056633694,2021,8,11
"0921.5Sqm.Dn.1","Squalicum",2021-09-10 21:30:00,2021-09-10,0.0198217929,2021,9,10
"0921.5Sqm.Dn.2","Squalicum",2021-09-10 21:30:00,2021-09-10,0.0198217929,2021,9,10
"0921.5Sqm.Dn.3","Squalicum",2021-09-10 21:30:00,2021-09-10,0.0198217929,2021,9,10
"0921.5Sqm.Up.1","Squalicum",NA,NA,NA,NA,NA,NA
"0921.5Sqm.Up.2","Squalicum",NA,NA,NA,NA,NA,NA
"0921.5Sqm.Up.3","Squalicum",NA,NA,NA,NA,NA,NA
"1021.5Sqm.Dn.1","Squalicum",2021-10-12 21:45:00,2021-10-12,0.0707921175,2021,10,12
"1021.5Sqm.Dn.2","Squalicum",2021-10-12 21:45:00,2021-10-12,0.0707921175,2021,10,12
"1021.5Sqm.Dn.3","Squalicum",2021-10-12 21:45:00,2021-10-12,0.0707921175,2021,10,12
"1021.5Sqm.Up.1","Squalicum",2021-10-12 22:00:00,2021-10-12,0.0707921175,2021,10,12
"1021.5Sqm.Up.2","Squalicum",2021-10-12 22:00:00,2021-10-12,0.0707921175,2021,10,12
"1021.5Sqm.Up.3","Squalicum",2021-10-12 22:00:00,2021-10-12,0.0707921175,2021,10,12
"1121.5Sqm.Dn.1","Squalicum",2021-11-10 22:30:00,2021-11-10,0.792871716,2021,11,10
"1121.5Sqm.Dn.2","Squalicum",2021-11-10 22:30:00,2021-11-10,0.792871716,2021,11,10
"1121.5Sqm.Dn.3","Squalicum",2021-11-10 22:30:00,2021-11-10,0.792871716,2021,11,10
"1121.5Sqm.Up.1","Squalicum",2021-11-10 22:45:00,2021-11-10,0.8041984548,2021,11,10
"1121.5Sqm.Up.2","Squalicum",2021-11-10 22:45:00,2021-11-10,0.8041984548,2021,11,10
"1121.5Sqm.Up.3","Squalicum",2021-11-10 22:45:00,2021-11-10,0.8041984548,2021,11,10
"1221.5Sqm.Dn.1","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,2021,12,10
"1221.5Sqm.Dn.2","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,2021,12,10
"1221.5Sqm.Dn.3","Squalicum",2021-12-10 22:30:00,2021-12-10,NA,2021,12,10
"1221.5Sqm.Up.1","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,2021,12,10
"1221.5Sqm.Up.2","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,2021,12,10
"1221.5Sqm.Up.3","Squalicum",2021-12-10 22:45:00,2021-12-10,NA,2021,12,10
"0122.5Sqm.Dn.1","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,2022,1,13
"0122.5Sqm.Dn.2","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,2022,1,13
"0122.5Sqm.Dn.3","Squalicum",2022-01-13 22:15:00,2022-01-13,NA,2022,1,13
"0122.5Sqm.Up.1","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,2022,1,13
"0122.5Sqm.Up.2","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,2022,1,13
"0122.5Sqm.Up.3","Squalicum",2022-01-13 22:45:00,2022-01-13,NA,2022,1,13
"0222.5Sqm.Dn.1","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,2022,2,10
"0222.5Sqm.Dn.2","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,2022,2,10
"0222.5Sqm.Dn.3","Squalicum",2022-02-10 22:15:00,2022-02-10,NA,2022,2,10
"0222.5Sqm.Up.1","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,2022,2,10
"0222.5Sqm.Up.2","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,2022,2,10
"0222.5Sqm.Up.3","Squalicum",2022-02-10 22:30:00,2022-02-10,NA,2022,2,10
