creek,location,biorep,month,year,sample,qubit.ng.ul
Squalicum,Down,1,4,2021,Squalicum.Down.1.421,6.78
Squalicum,Down,2,4,2021,Squalicum.Down.2.421,4.3
Squalicum,Down,3,4,2021,Squalicum.Down.3.421,6.51
Squalicum,Up,1,4,2021,Squalicum.Up.1.421,7.41
Squalicum,Up,2,4,2021,Squalicum.Up.2.421,6.32
Squalicum,Up,3,4,2021,Squalicum.Up.3.421,6.49
Portage,Down,1,5,2021,Portage.Down.1.521,0.755
Portage,Down,2,5,2021,Portage.Down.2.521,3.72
Portage,Down,3,5,2021,Portage.Down.3.521,3.41
Portage,Up,1,5,2021,Portage.Up.1.521,0.701
Portage,Up,2,5,2021,Portage.Up.2.521,4.79
Portage,Up,3,5,2021,Portage.Up.3.521,4.48
Barnes,Down,1,5,2021,Barnes.Down.1.521,14.5
Barnes,Down,2,5,2021,Barnes.Down.2.521,1.44
Barnes,Down,3,5,2021,Barnes.Down.3.521,2.27
Barnes,Up,1,5,2021,Barnes.Up.1.521,1.62
Barnes,Up,2,5,2021,Barnes.Up.2.521,2.56
Barnes,Up,3,5,2021,Barnes.Up.3.521,3.39
Chuckanut,Down,1,5,2021,Chuckanut.Down.1.521,0.789
Chuckanut,Down,2,5,2021,Chuckanut.Down.2.521,1.12
Chuckanut,Down,3,5,2021,Chuckanut.Down.3.521,1.49
Chuckanut,Up,1,5,2021,Chuckanut.Up.1.521,0.638
Chuckanut,Up,2,5,2021,Chuckanut.Up.2.521,1.19
Chuckanut,Up,3,5,2021,Chuckanut.Up.3.521,0.932
Padden,Down,1,5,2021,Padden.Down.1.521,19.1
Padden,Down,2,5,2021,Padden.Down.2.521,16.1
Padden,Down,3,5,2021,Padden.Down.3.521,16.9
Padden,Up11,1,5,2021,Padden.Up11.1.521,0.593
Padden,Up11,2,5,2021,Padden.Up11.2.521,11.4
Padden,Up11,3,5,2021,Padden.Up11.3.521,10.1
Padden,Up5,1,5,2021,Padden.Up5.1.521,10.7
Padden,Up5,2,5,2021,Padden.Up5.2.521,1.21
Padden,Up5,3,5,2021,Padden.Up5.3.521,13.3
Squalicum,Down,1,5,2021,Squalicum.Down.1.521,0.96
Squalicum,Down,2,5,2021,Squalicum.Down.2.521,1.63
Squalicum,Down,3,5,2021,Squalicum.Down.3.521,2.41
Squalicum,Up,1,5,2021,Squalicum.Up.1.521,1.86
Squalicum,Up,2,5,2021,Squalicum.Up.2.521,1.3
Squalicum,Up,3,5,2021,Squalicum.Up.3.521,1.83
Portage,Down,1,6,2021,Portage.Down.1.621,2.59
Portage,Down,2,6,2021,Portage.Down.2.621,2.36
Portage,Down,3,6,2021,Portage.Down.3.621,2.78
Portage,Up,1,6,2021,Portage.Up.1.621,1.55
Portage,Up,2,6,2021,Portage.Up.2.621,3.49
Portage,Up,3,6,2021,Portage.Up.3.621,1.71
Barnes,Down,1,6,2021,Barnes.Down.1.621,13.2
Barnes,Down,2,6,2021,Barnes.Down.2.621,9.14
Barnes,Down,3,6,2021,Barnes.Down.3.621,15.2
Barnes,Up,1,6,2021,Barnes.Up.1.621,5.65
Barnes,Up,2,6,2021,Barnes.Up.2.621,4.65
Barnes,Up,3,6,2021,Barnes.Up.3.621,0.927
Chuckanut,Down,1,6,2021,Chuckanut.Down.1.621,1.82
Chuckanut,Down,2,6,2021,Chuckanut.Down.2.621,3.21
Chuckanut,Down,3,6,2021,Chuckanut.Down.3.621,3.04
Chuckanut,Up,1,6,2021,Chuckanut.Up.1.621,1.61
Chuckanut,Up,2,6,2021,Chuckanut.Up.2.621,1.77
Chuckanut,Up,3,6,2021,Chuckanut.Up.3.621,1.81
Padden,Down,1,6,2021,Padden.Down.1.621,2.72
Padden,Down,2,6,2021,Padden.Down.2.621,2.74
Padden,Down,3,6,2021,Padden.Down.3.621,1.22
Padden,Up11,1,6,2021,Padden.Up11.1.621,0.187
Padden,Up11,2,6,2021,Padden.Up11.2.621,2.28
Padden,Up11,3,6,2021,Padden.Up11.3.621,6.55
Padden,Up5,1,6,2021,Padden.Up5.1.621,3.29
Padden,Up5,2,6,2021,Padden.Up5.2.621,4.94
Padden,Up5,3,6,2021,Padden.Up5.3.621,6.28
Squalicum,Down,1,6,2021,Squalicum.Down.1.621,3.06
Squalicum,Down,2,6,2021,Squalicum.Down.2.621,1.9
Squalicum,Down,3,6,2021,Squalicum.Down.3.621,2.93
Squalicum,Up,1,6,2021,Squalicum.Up.1.621,2.56
Squalicum,Up,2,6,2021,Squalicum.Up.2.621,2.94
Squalicum,Up,3,6,2021,Squalicum.Up.3.621,2.98
Padden,Down,3,3,2021,Padden.Down.3.321,13
Barnes,Up,2,3,2021,Barnes.Up.2.321,4.22
Portage,Down,1,7,2021,Portage.Down.1.721,3
Portage,Down,2,7,2021,Portage.Down.2.721,2.64
Portage,Down,3,7,2021,Portage.Down.3.721,2.76
Portage,Up,1,7,2021,Portage.Up.1.721,6.09
Portage,Up,2,7,2021,Portage.Up.2.721,3.6
Portage,Up,3,7,2021,Portage.Up.3.721,6.96
Barnes,Down,1,7,2021,Barnes.Down.1.721,18.8
Barnes,Down,2,7,2021,Barnes.Down.2.721,17.8
Barnes,Down,3,7,2021,Barnes.Down.3.721,28.4
Barnes,Up,1,7,2021,Barnes.Up.1.721,2.55
Barnes,Up,2,7,2021,Barnes.Up.2.721,2.57
Barnes,Up,3,7,2021,Barnes.Up.3.721,2.59
Chuckanut,Down,1,7,2021,Chuckanut.Down.1.721,2.45
Chuckanut,Down,2,7,2021,Chuckanut.Down.2.721,2.53
Chuckanut,Down,3,7,2021,Chuckanut.Down.3.721,2.69
Chuckanut,Up,1,7,2021,Chuckanut.Up.1.721,1.54
Chuckanut,Up,2,7,2021,Chuckanut.Up.2.721,1.72
Chuckanut,Up,3,7,2021,Chuckanut.Up.3.721,4.13
Padden,Down,1,7,2021,Padden.Down.1.721,11.1
Padden,Down,2,7,2021,Padden.Down.2.721,17
Padden,Down,3,7,2021,Padden.Down.3.721,4.45
Padden,Up11,1,7,2021,Padden.Up11.1.721,0.909
Padden,Up11,2,7,2021,Padden.Up11.2.721,28.3
Padden,Up11,3,7,2021,Padden.Up11.3.721,1.72
Padden,Up5,1,7,2021,Padden.Up5.1.721,1.96
Padden,Up5,2,7,2021,Padden.Up5.2.721,8.51
Padden,Up5,3,7,2021,Padden.Up5.3.721,16.2
Squalicum,Down,1,7,2021,Squalicum.Down.1.721,30
Squalicum,Down,2,7,2021,Squalicum.Down.2.721,23.4
Squalicum,Down,3,7,2021,Squalicum.Down.3.721,40.1
Squalicum,Up,1,7,2021,Squalicum.Up.1.721,49.3
Squalicum,Up,2,7,2021,Squalicum.Up.2.721,51
Squalicum,Up,3,7,2021,Squalicum.Up.3.721,50
Portage,Down,1,8,2021,Portage.Down.1.821,3.61
Portage,Down,2,8,2021,Portage.Down.2.821,3.77
Portage,Down,3,8,2021,Portage.Down.3.821,4.06
Portage,Up,1,8,2021,Portage.Up.1.821,7.65
Portage,Up,2,8,2021,Portage.Up.2.821,5.9
Portage,Up,3,8,2021,Portage.Up.3.821,5.28
Barnes,Down,1,8,2021,Barnes.Down.1.821,0.986
Barnes,Down,2,8,2021,Barnes.Down.2.821,3.4
Barnes,Down,3,8,2021,Barnes.Down.3.821,1.92
Barnes,Up,1,8,2021,Barnes.Up.1.821,0.378
Barnes,Up,2,8,2021,Barnes.Up.2.821,3.23
Barnes,Up,3,8,2021,Barnes.Up.3.821,3.07
Chuckanut,Down,1,8,2021,Chuckanut.Down.1.821,0.859
Chuckanut,Down,2,8,2021,Chuckanut.Down.2.821,0.773
Chuckanut,Down,3,8,2021,Chuckanut.Down.3.821,0.053
Chuckanut,Up,1,8,2021,Chuckanut.Up.1.821,4.42
Chuckanut,Up,2,8,2021,Chuckanut.Up.2.821,6.33
Chuckanut,Up,3,8,2021,Chuckanut.Up.3.821,6.6
Padden,Down,1,8,2021,Padden.Down.1.821,41
Padden,Down,2,8,2021,Padden.Down.2.821,21.4
Padden,Down,3,8,2021,Padden.Down.3.821,19.3
Padden,Up11,1,8,2021,Padden.Up11.1.821,1.79
Padden,Up11,2,8,2021,Padden.Up11.2.821,0.995
Padden,Up11,3,8,2021,Padden.Up11.3.821,7.01
Padden,Up5,1,8,2021,Padden.Up5.1.821,1.07
Padden,Up5,2,8,2021,Padden.Up5.2.821,0.55
Padden,Up5,3,8,2021,Padden.Up5.3.821,1.47
Squalicum,Down,1,8,2021,Squalicum.Down.1.821,55
Squalicum,Down,2,8,2021,Squalicum.Down.2.821,50
Squalicum,Down,3,8,2021,Squalicum.Down.3.821,46.4
Squalicum,Up,1,8,2021,Squalicum.Up.1.821,27.4
Squalicum,Up,2,8,2021,Squalicum.Up.2.821,23
Squalicum,Up,3,8,2021,Squalicum.Up.3.821,30.9
Chuckanut,Down,1,3,2021,Chuckanut.Down.1.321,5.8
Chuckanut,Down,2,3,2021,Chuckanut.Down.2.321,8.14
Chuckanut,Down,3,3,2021,Chuckanut.Down.3.321,8.56
Padden,Down,1,3,2021,Padden.Down.1.321,0.731
Padden,Down,2,3,2021,Padden.Down.2.321,0.64
Padden,Down,3,3,2021,Padden.Down.3.321,0.84
Portage,Down,1,9,2021,Portage.Down.1.921,2.39
Portage,Down,2,9,2021,Portage.Down.2.921,1.59
Portage,Down,3,9,2021,Portage.Down.3.921,2.22
Portage,Up,1,9,2021,Portage.Up.1.921,4.38
Portage,Up,2,9,2021,Portage.Up.2.921,4.42
Portage,Up,3,9,2021,Portage.Up.3.921,3.84
Barnes,Down,1,9,2021,Barnes.Down.1.921,0.674
Barnes,Down,2,9,2021,Barnes.Down.2.921,1.24
Barnes,Down,3,9,2021,Barnes.Down.3.921,0.811
Barnes,Up,1,9,2021,Barnes.Up.1.921,1.03
Barnes,Up,2,9,2021,Barnes.Up.2.921,0.82
Barnes,Up,3,9,2021,Barnes.Up.3.321,0.78
Chuckanut,Down,1,9,2021,Chuckant.Down.1.921,1.41
Chuckanut,Down,2,9,2021,Chuckanut.Down.2.921,1.23
Chuckanut,Down,3,9,2021,Chuckanut.Down.3.921,1.37
Chuckanut,Up,1,9,2021,Chuckanut.Up.1.921,4.51
Chuckanut,Up,2,9,2021,Chuckanut.Up.2.921,3.45
Chuckanut,Up,3,9,2021,Chuckanut.Up.3.921,7.61
Padden,Down,1,9,2021,Padden.Down.1.921,1.35
Padden,Down,2,9,2021,Padden.Down.2.921,2.96
Padden,Down,3,9,2021,Padden.Down.3.921,1.5
Padden,Up11,1,9,2021,Padden.Up11.1.921,5.15
Padden,Up11,2,9,2021,Padden.Up11.2.921,2.55
Padden,Up11,3,9,2021,Padden.Up11.3.921,10.2
Padden,Up5,1,9,2021,Padden.Up5.1.921,1.87
Padden,Up5,2,9,2021,Padden.Up5.2.921,0.867
Padden,Up5,3,9,2021,Padden.Up5.3.921,0.156
Squalicum,Down,1,9,2021,Squalicum.Down.1.921,21.6
Squalicum,Down,2,9,2021,Squalicum.Down.2.921,18.4
Squalicum,Down,3,9,2021,Squalicum.Down.3.921,19.1
EB,na,na,9,2021,na,BLOQ
Portage,Down,1,10,2021,Portage.Down.1.1021,2.4
Portage,Down,2,10,2021,Portage.Down.2.1021,1.3
Portage,Down,3,10,2021,Portage.Down.3.1021,2.62
Portage,Up,1,10,2021,Portage.Up.1.1021,3.29
Portage,Up,2,10,2021,Portage.Up.2.1021,2.92
Portage,Up,3,10,2021,Portage.Up.3.1021,2.55
Barnes,Down,1,10,2021,Barnes.Down.1.1021,0.503
Barnes,Down,2,10,2021,Barnes.Down.2.1021,2
Barnes,Down,3,10,2021,Barnes.Down.3.1021,0.325
Barnes,Up,1,10,2021,Barnes.Up.1.1021,0.663
Barnes,Up,2,10,2021,Barnes.Up.2.1021,0.535
Barnes,Up,3,10,2021,Barnes.Up.3.1021,0.615
Chuckanut,Down,1,10,2021,Chuckant.Down.1.1021,0.457
Chuckanut,Down,2,10,2021,Chuckanut.Down.2.1021,0.326
Chuckanut,Down,3,10,2021,Chuckanut.Down.3.1021,0.39
Chuckanut,Up,1,10,2021,Chuckanut.Up.1.1021,0.271
Chuckanut,Up,2,10,2021,Chuckanut.Up.2.1021,0.417
Chuckanut,Up,3,10,2021,Chuckanut.Up.3.1021,0.391
Padden,Down,1,10,2021,Padden.Down.1.1021,1.41
Padden,Down,2,10,2021,Padden.Down.2.1021,0.453
Padden,Down,3,10,2021,Padden.Down.3.1021,0.898
Padden,Up11,1,10,2021,Padden.Up11.1.1021,0.353
Padden,Up11,2,10,2021,Padden.Up11.2.1021,0.885
Padden,Up11,3,10,2021,Padden.Up11.3.1021,BLOQ*
Padden,Up5,1,10,2021,Padden.Up5.1.1021,0.562
Padden,Up5,2,10,2021,Padden.Up5.2.1021,0.454
Padden,Up5,3,10,2021,Padden.Up5.3.1021,BLOQ*
Squalicum,Down,1,10,2021,Squalicum.Down.1.1021,0.481
Squalicum,Down,2,10,2021,Squalicum.Down.2.1021,0.355
Squalicum,Down,3,10,2021,Squalicum.Down.3.1021,0.522
Squalicum,Up,1,10,2021,Squalicum.Up.1.1021,1.63
Squalicum,Up,2,10,2021,Squalicum.Up.2.1021,1.04
Squalicum,Up,3,10,2021,Squalicum.Up.3.1021,0.49
EB,na,na,10,2021,na,BLOQ*
Portage,Down,1,11,2021,Portage.Down.1.1121,3.19
Portage,Down,2,11,2021,Portage.Down.2.1121,3.57
Portage,Down,3,11,2021,Portage.Down.3.1121,4.64
Portage,Up,1,11,2021,Portage.Up.1.1121,5.2
Portage,Up,2,11,2021,Portage.Up.2.1121,5.75
Portage,Up,3,11,2021,Portage.Up.3.1121,6.23
Barnes,Down,1,11,2021,Barnes.Down.1.1121,1.57
Barnes,Down,2,11,2021,Barnes.Down.2.1121,1.03
Barnes,Down,3,11,2021,Barnes.Down.3.1121,0.28
Barnes,Up,1,11,2021,Barnes.Up.1.1121,1.2
Barnes,Up,2,11,2021,Barnes.Up.2.1121,1.79
Barnes,Up,3,11,2021,Barnes.Up.3.1121,1.25
Chuckanut,Down,1,11,2021,Chuckant.Down.1.1121,1.41
Chuckanut,Down,2,11,2021,Chuckanut.Down.2.1121,0.182
Chuckanut,Down,3,11,2021,Chuckanut.Down.3.1121,1.32
Chuckanut,Up,1,11,2021,Chuckanut.Up.1.1121,0.736
Chuckanut,Up,2,11,2021,Chuckanut.Up.2.1121,1.34
Chuckanut,Up,3,11,2021,Chuckanut.Up.3.1121,1.29
Padden,Down,1,11,2021,Padden.Down.1.1121,10.2
Padden,Down,2,11,2021,Padden.Down.2.1121,9.71
Padden,Down,3,11,2021,Padden.Down.3.1121,11.3
Padden,Up11,1,11,2021,Padden.Up11.1.1121,20.6
Padden,Up11,2,11,2021,Padden.Up11.2.1121,22.6
Padden,Up11,3,11,2021,Padden.Up11.3.1121,21.9
Padden,Up5,1,11,2021,Padden.Up5.1.1121,16.6
Padden,Up5,2,11,2021,Padden.Up5.2.1121,16.5
Padden,Up5,3,11,2021,Padden.Up5.3.1121,21.3
Squalicum,Down,1,11,2021,Squalicum.Down.1.1121,2.3
Squalicum,Down,2,11,2021,Squalicum.Down.2.1121,4.54
Squalicum,Down,3,11,2021,Squalicum.Down.3.1121,2.85
Squalicum,Up,1,11,2021,Squalicum.Up.1.1121,2.97
Squalicum,Up,2,11,2021,Squalicum.Up.2.1121,7.22
Squalicum,Up,3,11,2021,Squalicum.Up.3.1121,2.93
EB,na,na,11,2021,na,BLOQ*
Portage,Down,1,12,2021,Portage.Down.1.1221,4.66
Portage,Down,2,12,2021,Portage.Down.2.1221,4.06
Portage,Down,3,12,2021,Portage.Down.3.1221,4.15
Portage,Up,1,12,2021,Portage.Up.1.1221,4.3
Portage,Up,2,12,2021,Portage.Up.2.1221,3.03
Portage,Up,3,12,2021,Portage.Up.3.1221,3.77
Barnes,Down,1,12,2021,Barnes.Down.1.1221,0.544
Barnes,Down,2,12,2021,Barnes.Down.2.1221,BLOQ
Barnes,Down,3,12,2021,Barnes.Down.3.1221,0.4
Barnes,Up,1,12,2021,Barnes.Up.1.1221,1.42
Barnes,Up,2,12,2021,Barnes.Up.2.1221,0.901
Barnes,Up,3,12,2021,Barnes.Up.3.1221,1.03
Chuckanut,Down,1,12,2021,Chuckanut.Down.1.1221,1.19
Chuckanut,Down,2,12,2021,Chuckanut.Down.2.1221,1.09
Chuckanut,Down,3,12,2021,Chuckanut.Down.3.1221,0.693
Chuckanut,Up,1,12,2021,Chuckanut.Up.1.1221,1.07
Chuckanut,Up,2,12,2021,Chuckanut.Up.2.1221,1.19
Chuckanut,Up,3,12,2021,Chuckanut.Up.3.1221,0.784
Padden,Down,1,12,2021,Padden.Down.1.1221,9.97
Padden,Down,2,12,2021,Padden.Down.2.1221,6.73
Padden,Down,3,12,2021,Padden.Down.3.1221,6.64
Padden,Up11,1,12,2021,Padden.Up11.1.1221,2.48
Padden,Up11,2,12,2021,Padden.Up11.2.1221,4.65
Padden,Up11,3,12,2021,Padden.Up11.3.1221,5.88
Padden,Up5,1,12,2021,Padden.Up5.1.1221,9.64
Padden,Up5,2,12,2021,Padden.Up5.2.1221,8.71
Padden,Up5,3,12,2021,Padden.Up5.3.1221,5.6
Squalicum,Down,1,12,2021,Squalicum.Down.1.1221,2.32
Squalicum,Down,2,12,2021,Squalicum.Down.2.1221,3.14
Squalicum,Down,3,12,2021,Squalicum.Down.3.1221,0.943
Squalicum,Up,1,12,2021,Squalicum.Up.1.1221,2.02
Squalicum,Up,2,12,2021,Squalicum.Up.2.1221,1.44
Squalicum,Up,3,12,2021,Squalicum.Up.3.1221,2.1
Portage,Down,1,1,2022,Portage.Down.1.122,4.65
Portage,Down,2,1,2022,Portage.Down.2.122,4.5
Portage,Down,3,1,2022,Portage.Down.3.122,4.77
Portage,Up,1,1,2022,Portage.Up.1.122,3.94
Portage,Up,2,1,2022,Portage.Up.2.122,4.72
Portage,Up,3,1,2022,Portage.Up.3.122,3.78
Barnes,Down,1,1,2022,Barnes.Down.1.122,2.64
Barnes,Down,2,1,2022,Barnes.Down.2.122,2.7
Barnes,Down,3,1,2022,Barnes.Down.3.122,2.73
Barnes,Up,1,1,2022,Barnes.Up.1.122,5.15
Barnes,Up,2,1,2022,Barnes.Up.2.122,3.39
Barnes,Up,3,1,2022,Barnes.Up.3.122,3.99
Chuckanut,Down,1,1,2022,Chuckanut.Down.1.122,1.95
Chuckanut,Down,2,1,2022,Chuckanut.Down.2.122,2
Chuckanut,Down,3,1,2022,Chuckanut.Down.3.122,1.64
Chuckanut,Up,1,1,2022,Chuckanut.Up.1.122,1.9
Chuckanut,Up,2,1,2022,Chuckanut.Up.2.122,2.01
Chuckanut,Up,3,1,2022,Chuckanut.Up.3.122,1.66
Padden,Down,1,1,2022,Padden.Down.1.122,2.62
Padden,Down,2,1,2022,Padden.Down.2.122,2.12
Padden,Down,3,1,2022,Padden.Down.3.122,2.07
Padden,Up11,1,1,2022,Padden.Up11.1.122,1.63
Padden,Up11,2,1,2022,Padden.Up11.2.122,3.96
Padden,Up11,3,1,2022,Padden.Up11.3.122,2.3
Padden,Up5,1,1,2022,Padden.Up5.1.122,4.32
Padden,Up5,2,1,2022,Padden.Up5.2.122,4.81
Padden,Up5,3,1,2022,Padden.Up5.3.122,2.9
Squalicum,Down,1,1,2022,Squalicum.Down.1.122,1.64
Squalicum,Down,2,1,2022,Squalicum.Down.2.122,2.37
Squalicum,Down,3,1,2022,Squalicum.Down.3.122,4.02
Squalicum,Up,1,1,2022,Squalicum.Up.1.122,4.19
Squalicum,Up,2,1,2022,Squalicum.Up.2.122,4.1
Squalicum,Up,3,1,2022,Squalicum.Up.3.122,4.13
Portage,Down,1,2,2022,Portage.Down.1.222,3.88
Portage,Down,2,2,2022,Portage.Down.2.222,4.39
Portage,Down,3,2,2022,Portage.Down.3.222,4.19
Portage,Up,1,2,2022,Portage.Up.1.222,5.05
Portage,Up,2,2,2022,Portage.Up.2.222,5.77
Portage,Up,3,2,2022,Portage.Up.3.222,5.1
Barnes,Down,1,2,2022,Barnes.Down.1.222,0.24
Barnes,Down,2,2,2022,Barnes.Down.2.222,0.262
Barnes,Down,3,2,2022,Barnes.Down.3.222,0.22
Barnes,Up,1,2,2022,Barnes.Up.1.222,0.575
Barnes,Up,2,2,2022,Barnes.Up.2.222,0.5
Barnes,Up,3,2,2022,Barnes.Up.3.222,0.569
Chuckanut,Down,1,2,2022,Chuckanut.Down.1.222,0.317
Chuckanut,Down,2,2,2022,Chuckanut.Down.2.222,0.291
Chuckanut,Down,3,2,2022,Chuckanut.Down.3.222,0.358
Chuckanut,Up,1,2,2022,Chuckanut.Up.1.222,0.412
Chuckanut,Up,2,2,2022,Chuckanut.Up.2.222,0.447
Chuckanut,Up,3,2,2022,Chuckanut.Up.3.222,0.174
Padden,Down,1,2,2022,Padden.Down.1.222,1.1
Padden,Down,2,2,2022,Padden.Down.2.222,1.42
Padden,Down,3,2,2022,Padden.Down.3.222,1.61
Padden,Up11,1,2,2022,Padden.Up11.1.222,1.08
Padden,Up11,2,2,2022,Padden.Up11.2.222,1.13
Padden,Up11,3,2,2022,Padden.Up11.3.222,0.94
Padden,Up5,1,2,2022,Padden.Up5.1.222,4.62
Padden,Up5,2,2,2022,Padden.Up5.2.222,1.03
Padden,Up5,3,2,2022,Padden.Up5.3.222,1.9
Squalicum,Down,1,2,2022,Squalicum.Down.1.222,1.32
Squalicum,Down,2,2,2022,Squalicum.Down.2.222,1.03
Squalicum,Down,3,2,2022,Squalicum.Down.3.222,1.32
Squalicum,Up,1,2,2022,Squalicum.Up.1.222,1.13
Squalicum,Up,2,2,2022,Squalicum.Up.2.222,0.965
Squalicum,Up,3,2,2022,Squalicum.Up.3.222,1.17
